Takım,Elo,Sıra,Kategori
Man City,1751.9099999999999,1,Şampiyon
Arsenal,1634.2050000000004,2,UCL
Newcastle,1626.99,3,UCL
Liverpool,1614.8100000000009,4,UCL
Man United,1597.2449999999997,5,UEL
Aston Villa,1580.5800000000002,6,UEL
Brentford,1565.745,7,Orta Sıra
Brighton,1557.6300000000003,8,Orta Sıra
Tottenham,1504.0199999999995,9,Orta Sıra
Fulham,1495.7099999999996,10,Orta Sıra
Crystal Palace,1474.1249999999998,11,Orta Sıra
West Ham,1446.4650000000004,12,Orta Sıra
Wolves,1426.605,13,Orta Sıra
Nott'm Forest,1420.3799999999999,14,Orta Sıra
Chelsea,1419.7800000000004,15,Orta Sıra
Everton,1409.385,16,Orta Sıra
Leicester,1385.8349999999998,17,Orta Sıra
Bournemouth,1369.5299999999997,18,Ligden Düşen
Leeds,1341.795,19,Ligden Düşen
Southampton,1295.5949999999998,20,Ligden Düşen
